name,adsorption
mojpot27_P1,4.5150114385
mojpot30_P1,4.4571710271
mojpot35_P1,4.5327752251
mojpot40_P1,4.5158070901
mojpot42_P1,4.4825280974
mojpot43_P1,4.3297370467
mojpot47_P1,4.489092223
mojpot49_P1,4.40000519
mojpot58_P1,4.5265483865
mojpot73_P1,4.4812827297
mojpot74_P1,4.4778752653
mojpot75_P1,4.5145703707
mokxui_P1,4.536148096
mokyap04_P1,4.5608478888
mokyap07_P1,4.5510665633
mokyap08_P1,4.6610394506
mokyap16_P1,4.5848817559
mokyap22_P1,4.6061135457
mokyap23_P1,4.4921451036
mokyap26_P1,4.3733508617
mokyap29_P1,4.6147705809
mokyap31_P1,4.5538599922
mokyap35_P1,4.5570425986
mokyap36_P1,4.6119944487
mokyap54_P1,4.5925874686
mokyap60_P1,4.525328964
mokyap66_P1,4.6319722224
mokyap77_P1,4.6577790088
mokyap88_P1,4.6376888061
mokyap99_P1,4.617477526
mollad01_P1,4.6661506473
mollad02_P1,4.6504884186
mollad07_P1,4.6498570864
mollad08_P1,4.5884708365
mollad20_P1,4.603259578
mollad21_P1,4.6921995885
mollad32_P1,4.4431346953
mollad35_P1,4.5858590236
mollad36_P1,4.6477901219
mollad37_P1,4.6258232193
mollad43_P1,4.6568536314
mollad61_P1,4.5903215913
mollad64_P1,4.5728432014
mombey06_P1,4.5989353846
mombey25_P1,4.6927184917
mombey27_P1,4.7015225495
mombey34_P1,4.6634609989
mombey51_P1,4.6078172779
moqbec39_P1,5.6986079699
morfad10_P1,5.4696159277
morfad16_P1,5.3983354975
morfad19_P1,5.3365615027
mosxaw_P1,1.3977747121
movvur_P1,2.7414801116
moxhuf_P1,3.9519110899
moxpev_P1_charged,3.1314635667
moymet_P1,3.0563380702
moyrie_P1,18.2217622841
mubbap_P1_charged,9.1640650722
mujnaj_P1,2.3102655547
mundoq_P1_H,7.188979513
muqyee_P1_charged,8.307319694
murtuo_P1,1.3120810468
mutdem_P1,3.520636933
muzkez_P1_charged,18.4805647814
nacvui_P1_charged,4.0162968344
nacyog_P1,1.692750014
natkax_P1,6.4758771334
navpae_P1_charged,0.5043566696
naxvoy04_P1,2.8974575742
nehzuy_P1_H,0.9020536025
nenlie_P1_charged,1.987461514
nevqah_P1_charged,0.9062288163
nevtiu03_P1,9.0559194332
nexxiz_P1,3.0337073061
nifnuo_P1,2.9280565825
nifson_P1,2.9289627742
nifsut_P1,3.9969738281
nigqay_P1,3.2061448719
nihbai01_P1,1.5976271422
nihbem02_P1,2.2835404253
nihbiq01_P1,2.2847844706
nizgip_P1,7.4864770987
nizniv_P1,0.7833422248
nobxek_P1_H,4.729413326
nofqeg_P1,1.2565641143
noklij_P1,5.3038686393
nopcih_P1,3.0484721095
noqkov_P1,4.2380557007
norvoi_P1,2.8341223054
nucbiy_P1,2.0166758167
nuhgop_P1,3.0335822504
numsew_P1,3.3509135318
obahil_P1,4.3811820393
obonuo_P1_charged,3.6238362398
obufex_P1_H,2.1118305879
ociyuw_P1_charged,1.2644017944
ocizil_P1,0.8224349587
ocugez_P1_H,2.548268779
ocurio_P1_charged_H,0.0029621139
odimaq_P1,1.1839257125
oferun_P1,3.9402804586
ofesic_P1_H,0.9221064982
ofomuu_P1,2.7586568331
ofutuh_P1_charged,3.793447185
ogagej_P1,2.9846596225
ogiyuz_P1_charged,2.5667391882
ogujuy_P1,2.2815421552
ohiqee_P1_charged_H,1.1103389482
ojaxop_P1_H,3.1631408527
ojevik_P1_charged,8.4336321223
ojonoq_P1_H,1.6750686693
okayac_P1,1.4519980985
okikez_P1_charged,1.7165967463
okikoj_P1,1.2779696185
okosue_P1,5.4122649217
opegum_P1_charged,3.4667520384
openon_P1,1.1152110314
otedey_P1,7.8461534121
otudis_P1,5.9658874431
ovedup_P1,3.004389095
owitiy_P1_charged,15.1074426978
owitoe_P1_charged,9.4280755848
owituk_P1_charged,9.5932342055
oxalij_P1_charged,4.8352965155
oxaluv_P1_H,7.2505373966
oxicef_P1,3.0405429057
oyerer_P1_charged,2.4916125769
ozogan_P1_charged,4.5496299001
ozukol_P1,6.3192387782
pafpof_P1,4.6221349563
pedria_P1,12.0192387775
pedwih_P1,2.6645656537
pegbek_P1,0.0
pejnup_P1_charged,4.6089550509
petfec_P1,1.3602311308
pibxuv_P1_charged,8.5624770749
pibzuy_P1_H,2.4518737084
pidvoq_P1,2.2836453772
pihnuq_P1,0.0004294998
pipkor_P1_charged,3.4492050045
piqmot_P1_H,1.6558359326
pixloa_P1,1.0351100283
piznob_P1_H,2.1642309928
pizqia_P1,0.0
pizqum_P1,1.8945257006
podkuq_P1,17.3645811144
pogmuw_P1,0.9304512424
pohcog02_P1,2.6960817689
pokgec_P1_H,0.7721159467
pommah_P1_charged,3.6998852213
potrex_P1,11.1717940492
poxliz_P1_H,1.4549237643
pudsir01_P1,2.3220001493
pugsuh_P1_charged,6.3175249306
puqxuv_P1,1.5799862735
purjes_P1,2.2292407195
purqup_P1,4.9306725329
purrec_P1,3.056525965
puwzox_P1,0.3554874689
qadbii_P1,1.9142202559
qalhix_P1_charged,7.7740191391
qatpux_P1_H,0.0064529117
qedzeg_P1,1.3974799614
qepzob_P1_H,1.3616151788
qeqwer_P1,1.7821526623
qibtea_P1_charged,0.3706615023
qifmea_P1,1.6248488593
qiwcuw_P1,3.2970454588
qobxud_P1_charged,5.056966012
qocbeq_P1,4.5156716609
qoflaa_P1,2.7929363843
qomgoq_P1_charged,8.248505004
qomsao_P1,5.8193863844
qondop_P1_H,5.3341822604
qotkoc02_P1_charged,11.8384602602
qoxqus_P1,12.543145719
qoxron_P1_H,4.7521945907
qoxsuu_P1,12.1723897257
qozpom_P1,2.2238401305
qudcuq_P1,6.8042625183
quddif_P1,6.7976079169
qugquh_P1_H,3.6711791261
qulmiu_P1_H,2.2537712662
qunmui_P1,1.3408510101
